
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
77	25285	0.5364	0.4368	0.8995	0.733	0.64	0.695	0.568	0.7301899790763855	0.9283699989318848	1.0253000259399414	0.0002476	0.0002476	0.0002476
78	25608	0.5508	0.4348	0.9167	0.827	0.629	0.733	0.591	0.7551699876785278	0.8659999966621399	1.0313899517059326	0.0002377	0.0002377	0.0002377
79	25931	0.553	0.4349	0.9284	0.873	0.644	0.748	0.613	0.7039600014686584	0.7840999960899353	1.0189000368118286	0.0002278	0.0002278	0.0002278
80	26252	0.5585	0.4426	0.918	0.798	0.667	0.743	0.61	0.7316499948501587	0.8246099948883057	1.0354100465774536	0.0002179	0.0002179	0.0002179
81	26573	0.5425	0.4255	0.9104	0.822	0.664	0.743	0.597	0.7230299711227417	0.7951400279998779	1.0269099473953247	0.000208	0.000208	0.000208
82	26895	0.5259	0.4064	0.8964	0.837	0.655	0.754	0.623	0.7081500291824341	0.7877200245857239	1.015120029449463	0.0001981	0.0001981	0.0001981
83	27218	0.5417	0.4109	0.9117	0.786	0.674	0.746	0.607	0.7073000073432922	0.8174300193786621	1.0166599750518799	0.0001882	0.0001882	0.0001882
84	27538	0.5249	0.435	0.915	0.85	0.644	0.759	0.619	0.6949999928474426	0.7992100119590759	1.014430046081543	0.0001783	0.0001783	0.0001783
85	27863	0.5041	0.3979	0.9015	0.877	0.628	0.757	0.612	0.6960499882698059	0.8109599947929382	1.0218499898910522	0.0001684	0.0001684	0.0001684
86	28192	0.5003	0.3784	0.9128	0.776	0.696	0.749	0.616	0.7049000263214111	0.813040018	1.0230200290679932	0.0001585	0.0001585	0.0001585
87	28516	0.5029	0.3956	0.8997	0.778	0.686	0.743	0.619	0.6826199889183044	0.8687099814414978	1.0211000442504883	0.0001486	0.0001486	0.0001486
88	28839	0.5003	0.4063	0.9035	0.877	0.617	0.749	0.622	0.6938400268554688	0.856249988	1.0195800065994263	0.0001387	0.0001387	0.0001387
89	29160	0.5008	0.3841	0.8936	0.85	0.624	0.739	0.619	0.6837800145149231	0.8592100143432617	1.0113799571990967	0.0001288	0.0001288	0.0001288
90	29481	0.5011	0.3856	0.9088	0.83	0.632	0.733	0.609	0.6862199902534485	0.8947399854660034	1.017199993133545	0.0001189	0.0001189	0.0001189
91	29802	0.4408	0.3276	0.8758	0.835	0.618	0.73	0.606	0.6861500144004822	0.8900099992752075	1.0178600549697876	0.000109	0.000109	0.000109
92	30125	0.4404	0.3205	0.8715	0.804	0.631	0.726	0.599	0.6870599985122681	0.8575199842453003	1.0142799615859985	9.90999978967011e-05	9.90999978967011e-05	9.90999978967011e-05
93	30444	0.435	0.3191	0.8674	0.76	0.679	0.727	0.6	0.6877099871635437	0.8420799970626831	1.0158599615097046	8.920000254875049e-05	8.920000254875049e-05	8.920000254875049e-05
94	30764	0.4411	0.3139	0.8586	0.795	0.643	0.731	0.608	0.7031999826431274	0.8420500159263611	1.0183000564575195	7.929999992484227e-05	7.929999992484227e-05	7.929999992484227e-05
95	31086	0.4323	0.3196	0.8762	0.777	0.643	0.737	0.612	0.6955199837684631	0.8268100023269653	1.0108100175857544	6.939999730093405e-05	6.939999730093405e-05	6.939999730093405e-05
96	31407	0.4203	0.3156	0.87	0.803	0.641	0.741	0.615	0.697409987	0.8168299794197083	1.0113199949264526	5.949999831500463e-05	5.949999831500463e-05	5.949999831500463e-05
97	31751	0.4207	0.3042	0.8605	0.79	0.652	0.739	0.613	0.7093499898910522	0.8277400135993958	1.0227500200271606	4.959999932907522e-05	4.959999932907522e-05	4.959999932907522e-05
98	32296	0.4109	0.3008	0.8537	0.789	0.645	0.743	0.617	0.7058200240135193	0.8458300232887268	1.021839976	3.97000003431458e-05	3.97000003431458e-05	3.97000003431458e-05
99	32622	0.4064	0.2942	0.8583	0.783	0.663	0.743	0.612	0.710099995	0.8469700217247009	1.0270700454711914	2.9799999538226984e-05	2.9799999538226984e-05	2.9799999538226984e-05
100	32946	0.4177	0.2956	0.8631	0.79	0.664	0.744	0.61	0.7129200100898743	0.8497400283813477	1.0272400379180908	1.990000055229757e-05	1.990000055229757e-05	1.990000055229757e-05
