epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,3405,0.61736,0.89484,0.8808,0.82297,0.56456,0.67225,0.53646,0.70882,1.24696,0.90942,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,3782.73,0.61275,0.89063,0.88342,0.73876,0.60166,0.67003,0.54036,0.70914,1.23175,0.91236,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,4150.73,0.60579,0.86482,0.8885,0.73988,0.6124,0.67458,0.5402,0.71065,1.23161,0.91224,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,4528.99,0.58783,0.86932,0.87511,0.74674,0.61904,0.67449,0.53688,0.72069,1.2319,0.91528,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,4909.1,0.61894,0.90409,0.88526,0.78772,0.61122,0.67816,0.54682,0.7175,1.2271,0.91406,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,5271.9,0.55849,1.0063,0.84805,0.76699,0.58517,0.66019,0.52051,0.71141,1.27492,0.91414,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,5649.51,0.56522,1.00894,0.84827,0.72737,0.58917,0.64879,0.50974,0.72105,1.31234,0.91705,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,6013.87,0.57458,1.03544,0.85175,0.72769,0.56884,0.6451,0.5059,0.72655,1.32416,0.91884,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,6389.46,0.53574,0.98103,0.85121,0.68826,0.59829,0.64933,0.51512,0.71958,1.30576,0.9167,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,6767.03,0.55225,0.97844,0.85779,0.75586,0.56502,0.6516,0.51563,0.71578,1.30404,0.91547,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,7131.29,0.55142,0.9829,0.85712,0.65576,0.63573,0.65817,0.51934,0.71192,1.29098,0.91316,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,7507.69,0.53345,0.96904,0.84068,0.66198,0.62914,0.65427,0.51579,0.70898,1.29165,0.91216,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,7884.66,0.54814,0.97541,0.83954,0.67968,0.63692,0.66163,0.52087,0.70767,1.29206,0.91369,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,8251.92,0.52954,0.96519,0.84195,0.70265,0.60971,0.66175,0.52568,0.7034,1.28284,0.91061,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,8629.82,0.5408,0.97475,0.84234,0.69936,0.63885,0.66381,0.52712,0.70693,1.28067,0.91266,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
